onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	114	mono
50	12	clip	84	F
70	12	clip	31	R
94	12	clip	49	F
122	8	clip	122	mono
142	12	clip	54	F
170	12	clip	82	F
192	12	clip	95	R
212	12	clip	26	R
232	12	clip	42	F
258	8	clip	47	F
280	8	clip	18	F
296	8	clip	75	F
318	12	clip	55	F
340	8	clip	24	F
358	8	clip	68	F
378	8	clip	70	R
394	12	clip	15	R
416	16	clip	104	F
440	12	clip	17	F
468	16	clip	105	R
494	48	Go_NoGo	-1	Go_NoGo
550	12	clip	30	F
578	12	clip	48	R
600	12	clip	81	F
626	12	clip	19	F
648	16	clip	97	R
672	12	clip	4	R
692	12	clip	10	R
716	12	clip	44	F
736	8	clip	125	mono
760	12	clip	91	F
780	8	clip	71	F
804	16	clip	98	F
828	12	clip	58	R
854	12	clip	27	R
876	8	clip	7	F
894	12	clip	62	F
918	8	clip	128	mono
940	16	clip	111	R
966	12	clip	23	F
986	8	clip	117	mono
1004	8	clip	80	X
1022	48	Go_NoGo	-1	Go_NoGo
1078	8	clip	115	mono
1094	12	clip	64	F
1114	8	clip	38	F
1130	8	clip	126	mono
1146	8	clip	78	F
1162	12	clip	94	F
1182	12	clip	86	F
1204	16	clip	101	R
1236	12	clip	63	F
1260	12	clip	51	R
1280	16	clip	100	R
1310	12	clip	52	F
1332	8	clip	2	R
1348	8	clip	113	mono
1366	16	clip	108	F
1394	12	clip	11	F
1414	8	clip	41	F
1434	12	clip	22	R
1460	12	clip	13	F
1480	8	clip	25	F
1504	8	clip	69	F
1522	8	clip	74	F
